"topic","label_en","dbp_Links","Resource_src_info"
"http://namespacetopic.org/AI","AI","http://dbpedia.org/resource/Artificial_intelligence","C:\Users\anmol\Downloads\Intelligent_System_6741\build2\data_dir\COMP_474\lecture_contents\lecture_3\slides\slides06.txt COMP_474_LECTURE_3"
"http://namespacetopic.org/ML_Machine_Learning","ML_Machine_Learning","http://dbpedia.org/resource/Machine_learning","C:\Users\anmol\Downloads\Intelligent_System_6741\build2\data_dir\COMP_474\lecture_contents\lecture_3\slides\slides06.txt COMP_474_LECTURE_3"
"http://namespacetopic.org/Cortana","Cortana","http://dbpedia.org/resource/Cortana","C:\Users\anmol\Downloads\Intelligent_System_6741\build2\data_dir\COMP_474\lecture_contents\lecture_1\slides\slides01.txt COMP_474_LECTURE_1"
"http://namespacetopic.org/Microsoft_Zo","Microsoft_Zo","http://dbpedia.org/resource/Microsoft","C:\Users\anmol\Downloads\Intelligent_System_6741\build2\data_dir\COMP_474\lecture_contents\lecture_1\slides\slides01.txt COMP_474_LECTURE_1"
"http://namespacetopic.org/Mona_Lisa","Mona_Lisa","http://dbpedia.org/resource/Mona_Lisa","C:\Users\anmol\Downloads\Intelligent_System_6741\build2\data_dir\COMP_474\lecture_contents\lecture_1\slides\slides01.txt COMP_474_LECTURE_1"
"http://namespacetopic.org/Requires_Information_Extraction","Requires_Information_Extraction","http://dbpedia.org/resource/Information_extraction","C:\Users\anmol\Downloads\Intelligent_System_6741\build2\data_dir\COMP_474\lecture_contents\lecture_1\slides\slides01.txt COMP_474_LECTURE_1"
"http://namespacetopic.org/ML","ML","http://dbpedia.org/resource/ML_(programming_language)","C:\Users\anmol\Downloads\Intelligent_System_6741\build2\data_dir\COMP_474\lecture_contents\lecture_3\slides\slides06.txt COMP_474_LECTURE_3"
"http://namespacetopic.org/RDF_Schema_Constructs","RDF_Schema_Constructs","http://dbpedia.org/resource/RDF_Schema","C:\Users\anmol\Downloads\Intelligent_System_6741\build2\data_dir\COMP_474\lecture_contents\lecture_2\slides\slides03.txt COMP_474_LECTURE_2"
"http://namespacetopic.org/LOD","LOD","http://dbpedia.org/resource/Length_overall","C:\Users\anmol\Downloads\Intelligent_System_6741\build2\data_dir\COMP_474\lecture_contents\lecture_1\slides\slides01.txt COMP_474_LECTURE_1"
"http://namespacetopic.org/Cambridge_Analytica","Cambridge_Analytica","http://dbpedia.org/resource/Cambridge_Analytica","C:\Users\anmol\Downloads\Intelligent_System_6741\build2\data_dir\COMP_474\lecture_contents\lecture_3\slides\slides06.txt COMP_474_LECTURE_3"
"http://namespacetopic.org/Unsupervised_Learning","Unsupervised_Learning","http://dbpedia.org/resource/Unsupervised_learning","C:\Users\anmol\Downloads\Intelligent_System_6741\build2\data_dir\COMP_474\lecture_contents\lecture_3\slides\slides06.txt COMP_474_LECTURE_3"
"http://namespacetopic.org/LOC","LOC","http://dbpedia.org/resource/Library_of_Congress","C:\Users\anmol\Downloads\Intelligent_System_6741\build2\data_dir\COMP_474\lecture_contents\lecture_2\slides\slides03.txt COMP_474_LECTURE_2"
"http://namespacetopic.org/Microsoft_Tay","Microsoft_Tay","http://dbpedia.org/resource/Tay_(bot)","C:\Users\anmol\Downloads\Intelligent_System_6741\build2\data_dir\COMP_474\lecture_contents\lecture_1\slides\slides01.txt COMP_474_LECTURE_1"
"http://namespacetopic.org/Semantic_Web_Technologies","Semantic_Web_Technologies","http://dbpedia.org/resource/Semantic_Web","C:\Users\anmol\Downloads\Intelligent_System_6741\build2\data_dir\COMP_474\lecture_contents\lecture_2\slides\slides03.txt COMP_474_LECTURE_2"
"http://namespacetopic.org/Algorithm_1_Pick","Algorithm_1_Pick","http://dbpedia.org/resource/XTR","C:\Users\anmol\Downloads\Intelligent_System_6741\build2\data_dir\COMP_474\lecture_contents\lecture_3\slides\slides06.txt COMP_474_LECTURE_3"
"http://namespacetopic.org/DL","DL","http://dbpedia.org/resource/Deputy_lieutenant","C:\Users\anmol\Downloads\Intelligent_System_6741\build2\data_dir\COMP_474\lecture_contents\lecture_3\slides\slides06.txt COMP_474_LECTURE_3"
